english,hindi
The cow and bison are friends.,गाय और भैंस दोस्त हैं।
The dog and the cat play.,कुत्ता और बिल्ली खेलते हैं।
We play cards and board games.,हम ताश और बोर्ड गेम खेलते हैं
Teddy bear and stuffed animals.,टेडी बियर और भरवां जानवर
The door and the golden key.,दरवाज़ा और सोने की चाबी
The cat and the parrot.,बिल्ली और तोता
The cat and the lizard played.,बिल्ली और छिपकली खेलीं।
Bucket and beach toys.,बाल्टी और समुद्र तट के खिलौने
A pea and a bean.,एक मटर और एक सेम
"Play dough and tools, fun!","प्ले-डो और उपकरण, मज़ेदार!"
The hamster and gerbil played.,हम्सटर और जर्बिल खेले।
The cat and dog played.,बिल्ली और कुत्ता खेले।
Bears and play tents!,भालू और खेलने के तम्बू!
The queen and the magic mirror.,रानी और जादुई दर्पण
A cat and a ferret.,एक बिल्ली और एक फेरेट
Play and use toy kitchen sets.,खिलौनों की रसोई के सेट से खेलें और उनका इस्तेमाल करें।
Cars and toy trains!,गाड़ियाँ और खिलौना ट्रेनें!
The prince and princess played.,राजकुमार और राजकुमारी खेले।
Snow White and seven dwarfs.,स्नो व्हाइट और सात बौने
The cat and bird play.,बिल्ली और चिड़िया खेलते हैं।
Look in the mirror and smile!,आइने में देखो और मुस्कुराओ!
"Butterfly and flower, pretty!","तितली और फूल, सुंदर!"
The dog and the horse.,कुत्ता और घोड़ा
Books and toys are fun!,किताबें और खिलौने मजेदार होते हैं!
The witch drank and a magic potion.,डायन ने जादू का काढ़ा पिया।
A hammer and toy tools.,एक हथौड़ा और खिलौना औजार
The cake and candle are here!,केक और मोमबत्ती यहाँ हैं!
The princess and the magic harp.,राजकुमारी और जादुई वीणा
A chinchilla and a cat.,एक चिंचिला और एक बिल्ली
The cat and the hedgehog played.,बिल्ली और साही ने खेला।
Cars and action figures!,गाड़ियाँ और एक्शन फिगर!
My cat and guinea pig play.,मेरी बिल्ली और गिनी पिग खेलते हैं।
Rockets and spaceships are fun!,रॉकेट और अंतरिक्ष यान मजेदार होते हैं!
"Play-Doh and crayons, please!","प्ले-डो और क्रेयॉन, कृपया!"
He opened his chest and smiled.,उसने सीना खोला और मुस्कुराया।
The cat and the rabbit play.,बिल्ली और खरगोश खेलते हैं।
The fish and betta fish swim.,मछली और बिट्टा मछली तैरती हैं।
Ball and water toys!,गेंद और पानी के खिलौने!
Dinosaurs and trucks are toys.,डायनासोर और ट्रक खिलौने हैं।
The cat and rabbit play.,बिल्ली और खरगोश खेलते हैं।
The king and the castle tower.,राजा और महल का बुर्ज
The snake talked and hissed.,साँप ने बात की और फुसफुसाया।
Teddy and toy phones.,टेडी और खिलौनों के फोन
A cow and toy farm sets!,एक गाय और खिलौनों का फार्म सेट!
The princess and the knight.,राजकुमारी और शूरवीर
Doll and toy food.,गुड़िया और खिलौना खाना
Fish and goldfish swim.,मछली और गोल्डफ़िश तैरती हैं।
The king and the crown.,राजा और ताज
The boat and the river.,नाव और नदी
Cars and toy police cars.,कारें और खिलौने वाली पुलिस कारें
The fox and the cat.,लोमड़ी और बिल्ली
The cat and snake played.,बिल्ली और साँप खेले।
The bird and the magic flute.,पक्षी और जादुई बांसुरी
Boats and toys are fun!,नावें और खिलौने मजेदार होते हैं!
The turtle swims and eats.,कछुआ तैरता है और खाता है।
The thread and spinning wheel.,सूत और चरखा
Cookies and gingerbread house.,कुकीज़ और जिंजरब्रेड हाउस
